exp_key,ds_name,train_samples,train_dim,test_samples,test_dim,hc_name,fold,algo_name,J,hc_cat_encoder,other_cat_encoder,measure,performance,hc_cardinality,hc_card_rank,hc_samples_per_cat,hc_na_ratio,hc_positve_ratio,hc_mdi_imp,hc_perm_imp,hc_mdi_imp_rank,hc_mdi_imp_rank_cat,hc_perm_imp_rank,hc_perm_imp_rank_cat
GBDT_Adult_native-country_1_42_TargetEncoder,Adult,34189.0,14.0,14653.0,14.0,native-country,1.0,GBDT,42.0,TargetEncoder,TargetEncoder,train_time(s),3.2243423461914062,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.017918928443814583,0.005388804717251572,12.0,6.0,13.0,7.0
GBDT_Adult_native-country_1_42_TargetEncoder,Adult,34189.0,14.0,14653.0,14.0,native-country,1.0,GBDT,42.0,TargetEncoder,TargetEncoder,pred_time(s),0.017979145050048828,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.017918928443814583,0.005388804717251572,12.0,6.0,13.0,7.0
GBDT_Adult_native-country_2_42_TargetEncoder,Adult,34189.0,14.0,14653.0,14.0,native-country,2.0,GBDT,42.0,TargetEncoder,TargetEncoder,AUC,0.7789067314564162,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.017918928443814583,0.005388804717251572,12.0,6.0,13.0,7.0
GBDT_Adult_native-country_2_42_TargetEncoder,Adult,34189.0,14.0,14653.0,14.0,native-country,2.0,GBDT,42.0,TargetEncoder,TargetEncoder,Accuracy,0.8650788234491229,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.017918928443814583,0.005388804717251572,12.0,6.0,13.0,7.0
GBDT_Adult_native-country_2_42_TargetEncoder,Adult,34189.0,14.0,14653.0,14.0,native-country,2.0,GBDT,42.0,TargetEncoder,TargetEncoder,Precision,0.7903867003975424,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.017918928443814583,0.005388804717251572,12.0,6.0,13.0,7.0
GBDT_Adult_native-country_2_42_TargetEncoder,Adult,34189.0,14.0,14653.0,14.0,native-country,2.0,GBDT,42.0,TargetEncoder,TargetEncoder,Recall,0.6102120535714286,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.017918928443814583,0.005388804717251572,12.0,6.0,13.0,7.0
GBDT_Adult_native-country_2_42_TargetEncoder,Adult,34189.0,14.0,14653.0,14.0,native-country,2.0,GBDT,42.0,TargetEncoder,TargetEncoder,F1,0.6887104393008975,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.017918928443814583,0.005388804717251572,12.0,6.0,13.0,7.0
GBDT_Adult_native-country_2_42_TargetEncoder,Adult,34189.0,14.0,14653.0,14.0,native-country,2.0,GBDT,42.0,TargetEncoder,TargetEncoder,Aver_precision,0.5776423300282432,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.017918928443814583,0.005388804717251572,12.0,6.0,13.0,7.0
GBDT_Adult_native-country_2_42_TargetEncoder,Adult,34189.0,14.0,14653.0,14.0,native-country,2.0,GBDT,42.0,TargetEncoder,TargetEncoder,Balanced_accuracy,0.7789067314564162,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.017918928443814583,0.005388804717251572,12.0,6.0,13.0,7.0
GBDT_Adult_native-country_2_42_TargetEncoder,Adult,34189.0,14.0,14653.0,14.0,native-country,2.0,GBDT,42.0,TargetEncoder,TargetEncoder,train_time(s),3.123692750930786,42.0,1.0,1162.904761904762,0.017546374022357807,0.23928176569346055,0.017918928443814583,0.005388804717251572,12.0,6.0,13.0,7.0
